artworkId,movement
cma:102578,Impresionismo
cma:109245,Neoclasicismo
cma:121035,Impresionismo
cma:121188,Impresionismo
cma:122351,Romanticismo
cma:125249,Postimpresionismo
cma:131761,Postimpresionismo
cma:135185,Postimpresionismo
cma:135382,Impresionismo
cma:135420,Modernismo
cma:136154,Expresionismo
cma:136510,Impresionismo
cma:136682,Romanticismo
cma:138464,Neoclasicismo
cma:140078,Realismo
cma:141168,Realismo
cma:142356,Impresionismo
cma:149112,Modernismo
cma:151904,Realismo
cma:155783,Realismo
cma:163010,Expresionismo
cma:166199,Postimpresionismo
cma:313396,Neoclasicismo
cma:324444,Impresionismo
cma:92937,Realismo
met:435621,Realismo
met:435702,Realismo
met:435802,Manierismo
met:435868,Postimpresionismo
met:435876,Postimpresionismo
met:435882,Postimpresionismo
met:436002,Realismo
met:436095,Realismo
met:436105,Neoclasicismo
met:436106,Neoclasicismo
met:436575,Manierismo
met:436840,Neoclasicismo
met:436947,Impresionismo
met:437299,Impresionismo
met:437654,Postimpresionismo
met:437835,Postimpresionismo
met:438815,Impresionismo
met:438816,Realismo
met:438817,Impresionismo
met:438820,Realismo
met:438821,Postimpresionismo
aic:81503,Romanticismo
aic:81505,Romanticismo
aic:87045,Fauvismo
aic:111317,Neoclasicismo
cma:160300,Ukiyo-e
cma:101210,Ukiyo-e
cma:101854,Ukiyo-e
cma:102604,Ukiyo-e
cma:102605,Ukiyo-e
cma:102615,Ukiyo-e
cma:102617,Ukiyo-e
cma:102622,Ukiyo-e
cma:103239,Ukiyo-e
cma:103240,Ukiyo-e
cma:103241,Ukiyo-e
cma:103242,Ukiyo-e
cma:103244,Ukiyo-e
cma:103249,Ukiyo-e
cma:103260,Ukiyo-e
cma:103279,Ukiyo-e
cma:103288,Ukiyo-e
cma:103289,Ukiyo-e
cma:103292,Ukiyo-e
cma:103293,Ukiyo-e
cma:103294,Ukiyo-e
cma:103295,Ukiyo-e
cma:103296,Ukiyo-e
cma:103301,Ukiyo-e
cma:103351,Ukiyo-e
cma:103356,Ukiyo-e
cma:103357,Ukiyo-e
cma:103358,Ukiyo-e
aic:24645,Ukiyo-e
aic:56236,Ukiyo-e
aic:87008,Ukiyo-e
aic:88977,Ukiyo-e
cma:141639,Escuela del río Hudson
aic:57163,Escuela del río Hudson
aic:90048,Escuela del río Hudson
aic:71971,Escuela del río Hudson
aic:72398,Escuela del río Hudson
aic:97291,Escuela del río Hudson
aic:129639,Escuela del río Hudson
aic:146701,Escuela del río Hudson
aic:185185,Escuela del río Hudson
aic:76571,Escuela del río Hudson
cma:100588,Escuela del río Hudson
aic:109228,Luminismo
aic:100829,Luminismo
aic:152747,Luminismo
aic:100489,Luminismo
cma:102005,Escuela de Barbizon
aic:81512,Realismo
cma:102066,Realismo
aic:81576,Impresionismo
aic:68388,Tonalismo
aic:68792,Tonalismo
aic:80586,Expresionismo
aic:8980,Expresionismo
aic:89043,Romanticismo
cma:103359,Ukiyo-e
cma:103360,Ukiyo-e
cma:106962,Ukiyo-e
cma:103898,Escuela de Barbizon
cma:104013,Impresionismo
cma:104987,Impresionismo
cma:104300,Realismo
cma:106404,Realismo
cma:103997,Realismo
cma:106088,Realismo
cma:103730,Realismo
cma:106785,Realismo
cma:105105,Tonalismo
cma:105074,Tonalismo
cma:105206,Tonalismo
cma:106056,Tonalismo
cma:106963,Ukiyo-e
cma:106964,Ukiyo-e
cma:106965,Ukiyo-e
cma:106968,Ukiyo-e
cma:111643,Ukiyo-e
cma:111644,Ukiyo-e
cma:111645,Ukiyo-e
